,,,,,,,,,,,,,,,
Gross Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2005 to 2019,,,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Memphis, TN-AR-MS.............................................................................................................................................",10.3,9.3,11.3,12.9,14.1,13.7,13.8,13.1,12.9,14.1,9.8,7.6,7.3,7.6,7.9
"Miami-Fort Lauderdale-Miami Beach, FL\20....................................................................................................................",18.1,19.5,21.2,22.1,23.1,21.8,21.0,20.1,20.2,19.6,11.2,10.9,12.1,12.6,9.9
"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",8.6,7.5,7.8,9.2,9.8,7.8,9.2,10.6,12.1,9.5,16.9,17.9,17.8,14.9,14.1
"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",7.1,7.8,7.6,7.6,7.6,6.8,6.6,5.8,5.7,5.7,8.0,6.5,7.9,8.1,8.0
"Nashville-Davidson-Murfreesboro, TN\21............................................................................................................................",10.0,9.2,9.2,9.9,8.7,10.9,9.0,8.7,6.6,7.0,6.4,5.3,4.5,3.9,4.4
"New Haven-Milford, CT..............................................................................................................................................................",7.5,7.5,8.6,8.4,9.9,11.4,10.7,9.4,9.9,7.4,8.3,6.6,6.2,5.9,7.8
"New Orleans-Metairie-Kenner, LA\22.....................................................................................................................................",11.4,12.8,12.8,16.5,16.1,14.6,10.7,13.6,13.3,13.0,8.7,10.0,10.0,10.9,11.9
"New York-Northern New Jersey--Long Island, NY\23.......................................................................................................",9.0,9.3,9.5,9.0,9.4,9.6,10.0,9.8,9.5,9.2,13.2,13.6,12.8,11.9,12.9
"Oklahoma City, OK.............................................................................................................................................................................",12.9,11.0,11.2,13.9,12.6,13.3,15.1,12.8,13.0,13.4,9.8,10.3,10.7,10.3,9.2
"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",6.4,7.7,8.1,8.7,8.3,9.6,9.3,8.3,7.5,7.7,34.2,27.9,28.3,31.5,33.6
"Orlando, FL............................................................................................................................................................................................",12.7,14.5,19.9,21.4,21.2,19.9,20.1,21.2,20.5,18.8,11.9,11.9,11.1,11.5,10.8
"Oxnard-Thousand Oaks-Ventura, CA…………………",2.6,6.3,5.8,4.9,5.9,7.3,7.1,5.5,7.4,8.4,9.0,6.9,5.9,7.1,5.6
"Philadelphia-Camden-Wilmington, PA .....................................................................................................................................",9.1,9.3,9.7,9.0,8.9,9.9,10.5,10.2,10.4,10.2,14.3,13.2,14.3,19.4,16.0
"Phoenix-Mesa-Scottsdale, AZ\24.......................................................................................................................................",14.4,16.3,15.7,17.6,18.6,18.4,16.7,16.6,18.4,17.5,10.7,9.3,8.6,9.0,8.3
"Pittsburgh, PA.....................................................................................................................................................................................................",13.1,13.2,13,12.6,13.2,12.7,12.3,14.4,12.7,12.2,15.3,13.9,13.7,12.6,10.3
"Portland-Vancouver-Beaverton, OR-WA\25......................................................................................................................................",8.3,7.2,7.5,7.1,8.2,7.2,6.5,7.0,6.5,6.3,13.5,17.7,13.6,10.2,10.6
"Poughkeepsie-Newburgh-Middletown, NJ.................................................................................................................................",7.8,9.0,7.3,8.1,7.9,7.0,9.5,6.6,7.9,7.7,6.0,6.7,6.4,6.8,6.6
Providence-New Bedford-Fall River RI-MA\26.........................................................................................................................,10.3,11.2,12.9,13.2,12.8,12.7,13.7,13.8,12.3,13.2,11.0,11.1,11.3,10.3,9.8
"Raleigh-Cary, NC\27............................................................................................................................................................................",8.6,8.0,8.6,10.6,10.5,11.0,9.2,8.5,7.3,6.4,6.8,6.8,8.0,6.7,6.6
"Richmond, VA\28.........................................................................................................................................................................",10.5,10.1,11.9,12.8,12.7,11.7,12.4,13.8,14.5,11.8,6.3,6.9,9.1,8.0,8.5
"Riverside-San Bernardino-Ontario, CA\29...................................................................................................................................",16.1,15.0,16.8,18.1,18.7,19.9,17.7,17.9,16.2,14.6,14.7,14.8,16.2,15.1,14.9
"Rochester, NY...........................................................................................................................................................................................",9.7,10.1,13.4,13.1,13.1,12.0,10.7,9.9,9.6,9.1,8.0,7.9,8.5,9.9,8.6
"Sacramento-Arden-Arcade-Roseville, CA\30........................................................................................................................",11.5,16.1,15.8,16.9,15.2,14.0,10.5,8.5,9.7,10.2,8.8,8.6,7.5,8.6,7.8
"St. Louis, MO-IL..................................................................................................................................................................................",10.7,10.0,10.1,11.1,9.4,11.3,13.2,14.5,15.1,12.3,10.7,9.5,9.2,8.1,9.5
"Salt Lake City, UT\31....................................................................................................................................................................",6.5,7.0,6.8,7.4,8.7,6.4,7.5,7.9,7.4,7.8,5.2,5.4,5.0,5.0,4.8
"San Antonio, TX ...........................................................................................................................................................................",11.7,11.8,14.1,11.1,10.6,11.1,11.2,11.3,9.0,8.6,9.0,9.9,9.9,6.7,9.0
San Diego-Carlsbad-San Marcos\32.................................................................................................................................,8.1,8.8,10.6,10.8,10.4,10.5,9.9,9.1,7.8,7.7,7.7,7.5,6.4,7.6,7.5
"San Francisco-Oakland-Fremont, CA\33....................................................................................................................................",8.0,8.2,8.3,8.9,10.3,9.1,8.3,6.9,6.5,5.9,5.7,6.0,6.0,7.5,7.1
"San Jose-Sunnyvale-Santa Clara, CA\34...................................................................................................................................",6.0,7.5,5.2,5.8,6.3,6.4,5.3,3.8,5.0,4.7,5.7,6.1,6.0,5.8,5.6
"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",6.9,6.4,6.3,6.6,9.0,8.8,8.6,8.1,6.9,6.9,5.6,5.6,6.0,5.9,5.5
"Springfield, MA...................................................................................................................................................................................",4.9,4.8,6.5,5.5,4.6,4.9,5.7,8.0,8.3,7.8,11.1,12.0,13.0,10.8,10.4
"Syracuse, NY……………………………………………………..",7.4,10.6,15.8,15.3,12.3,11.8,11.5,12.6,16.0,13.7,16.8,16.1,16.2,16.1,16.2
"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",15.0,15.4,18.6,18.7,20.5,20.2,20.4,20.8,18.4,18.3,10.2,9.1,13.6,12.3,8.7
"Toledo, OH………………………………………………………..",9.6,8.6,7.3,9.2,10.2,12.3,12.5,8.3,6.5,10.2,11.8,15.6,13.8,12.5,14.8
"Tucson, AZ ..........................................................................................................................................................................................................",13.0,11.8,14.7,13.6,17.4,14.4,14.8,15.7,14.5,10.0,11.4,8.6,10.2,11.7,8.4
"Tulsa, OK....................................................................................................................................................................................................",13.7,11.5,13.7,11.6,12.7,13.3,13.2,13.3,12.0,11.0,11.9,13.7,13.9,14.0,11.7
"Virginia Beach-Norfolk-Newport News, VA\35...............................................................................................................................",11.7,12.6,9.8,10.9,10.4,11.1,10.8,10.8,9.6,9.4,10.5,12.0,9.4,8.9,10.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV\36..........................................................................................",7.5,8.8,10.6,11.0,10.3,10.2,9.6,8.1,8.3,7.8,7.7,8.2,7.4,7.0,7.1
"Worcester, MA.........................................................................................................................................................................................",8.4,8.0,7.9,8.1,6.6,9.2,10.3,10.3,10.8,11.0,10.1,8.6,8.2,7.9,6.4
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
